      En-low      En-high        flux      flux-unc         gxs       gxs-unc   greac-rate     cum-rate 
  9.12011E-05  9.54993E-05  1.41044E-03  0.00000E+00  1.79568E+01  0.00000E+00  2.53269E-02  2.26727E+00
  9.54993E-05  1.00000E-04  1.41044E-03  0.00000E+00  1.75513E+01  0.00000E+00  2.47550E-02  2.29202E+00
  1.00000E-04  1.04713E-04  1.41044E-03  0.00000E+00  1.71548E+01  0.00000E+00  2.41958E-02  2.31622E+00
  1.04713E-04  1.09648E-04  1.41044E-03  0.00000E+00  1.67675E+01  0.00000E+00  2.36495E-02  2.33987E+00
  1.09648E-04  1.14815E-04  1.41044E-03  0.00000E+00  1.63888E+01  0.00000E+00  2.31153E-02  2.36298E+00
  1.14815E-04  1.20226E-04  1.41044E-03  0.00000E+00  1.60189E+01  0.00000E+00  2.25937E-02  2.38558E+00
  1.20226E-04  1.25893E-04  1.41044E-03  0.00000E+00  1.56580E+01  0.00000E+00  2.20847E-02  2.40766E+00
  1.25893E-04  1.31826E-04  1.41044E-03  0.00000E+00  1.53049E+01  0.00000E+00  2.15866E-02  2.42925E+00
  1.31826E-04  1.38038E-04  1.41044E-03  0.00000E+00  1.49601E+01  0.00000E+00  2.11003E-02  2.45035E+00
  1.38038E-04  1.44544E-04  1.41044E-03  0.00000E+00  1.46232E+01  0.00000E+00  2.06251E-02  2.47097E+00
  1.44544E-04  1.51356E-04  1.41044E-03  0.00000E+00  1.42942E+01  0.00000E+00  2.01611E-02  2.49113E+00
  1.51356E-04  1.58489E-04  1.41044E-03  0.00000E+00  1.39724E+01  0.00000E+00  1.97071E-02  2.51084E+00
  1.58489E-04  1.65959E-04  1.41044E-03  0.00000E+00  1.36584E+01  0.00000E+00  1.92643E-02  2.53011E+00
  1.65959E-04  1.73780E-04  1.41044E-03  0.00000E+00  1.33514E+01  0.00000E+00  1.88313E-02  2.54894E+00
  1.73780E-04  1.81970E-04  1.41044E-03  0.00000E+00  1.30516E+01  0.00000E+00  1.84085E-02  2.56735E+00
  1.81970E-04  1.90546E-04  1.41044E-03  0.00000E+00  1.27587E+01  0.00000E+00  1.79953E-02  2.58534E+00
  1.90546E-04  1.99526E-04  1.41044E-03  0.00000E+00  1.24723E+01  0.00000E+00  1.75915E-02  2.60293E+00
  1.99526E-04  2.08930E-04  1.41044E-03  0.00000E+00  1.21930E+01  0.00000E+00  1.71975E-02  2.62013E+00
  2.08930E-04  2.18776E-04  1.41044E-03  0.00000E+00  1.19197E+01  0.00000E+00  1.68120E-02  2.63694E+00
  2.18776E-04  2.29087E-04  1.41044E-03  0.00000E+00  1.16531E+01  0.00000E+00  1.64360E-02  2.65338E+00
  2.29087E-04  2.39883E-04  1.41044E-03  0.00000E+00  1.13924E+01  0.00000E+00  1.60683E-02  2.66945E+00
  2.39883E-04  2.51189E-04  1.41044E-03  0.00000E+00  1.11381E+01  0.00000E+00  1.57096E-02  2.68516E+00
  2.51189E-04  2.63027E-04  1.41044E-03  0.00000E+00  1.08892E+01  0.00000E+00  1.53586E-02  2.70051E+00
  2.63027E-04  2.75423E-04  1.41044E-03  0.00000E+00  1.06465E+01  0.00000E+00  1.50162E-02  2.71553E+00
  2.75423E-04  2.88403E-04  1.41044E-03  0.00000E+00  1.04093E+01  0.00000E+00  1.46816E-02  2.73021E+00
  2.88403E-04  3.01995E-04  1.41044E-03  0.00000E+00  1.01775E+01  0.00000E+00  1.43547E-02  2.74457E+00
  3.01995E-04  3.16228E-04  1.41044E-03  0.00000E+00  9.95117E+00  0.00000E+00  1.40355E-02  2.75860E+00
  3.16228E-04  3.31131E-04  1.41044E-03  0.00000E+00  9.73007E+00  0.00000E+00  1.37236E-02  2.77233E+00
  3.31131E-04  3.46737E-04  1.41044E-03  0.00000E+00  9.51430E+00  0.00000E+00  1.34193E-02  2.78575E+00
  3.46737E-04  3.63078E-04  1.41044E-03  0.00000E+00  9.30329E+00  0.00000E+00  1.31217E-02  2.79887E+00
  3.63078E-04  3.80189E-04  1.41044E-03  0.00000E+00  9.09754E+00  0.00000E+00  1.28315E-02  2.81170E+00
  3.80189E-04  3.98107E-04  1.41044E-03  0.00000E+00  8.89630E+00  0.00000E+00  1.25477E-02  2.82425E+00
  3.98107E-04  4.16869E-04  1.41044E-03  0.00000E+00  8.70004E+00  0.00000E+00  1.22709E-02  2.83652E+00
  4.16869E-04  4.36516E-04  1.41044E-03  0.00000E+00  8.50818E+00  0.00000E+00  1.20003E-02  2.84852E+00
  4.36516E-04  4.57088E-04  1.41044E-03  0.00000E+00  8.32097E+00  0.00000E+00  1.17362E-02  2.86025E+00
  4.57088E-04  4.78630E-04  1.41044E-03  0.00000E+00  8.13812E+00  0.00000E+00  1.14783E-02  2.87173E+00
  4.78630E-04  5.01187E-04  1.41044E-03  0.00000E+00  7.95954E+00  0.00000E+00  1.12264E-02  2.88296E+00
  5.01187E-04  5.24807E-04  1.41044E-03  0.00000E+00  7.78528E+00  0.00000E+00  1.09806E-02  2.89394E+00
  5.24807E-04  5.49541E-04  1.41044E-03  0.00000E+00  7.61499E+00  0.00000E+00  1.07405E-02  2.90468E+00
  5.49541E-04  5.75440E-04  1.41044E-03  0.00000E+00  7.44894E+00  0.00000E+00  1.05063E-02  2.91519E+00
  5.75440E-04  6.02560E-04  1.41044E-03  0.00000E+00  7.28660E+00  0.00000E+00  1.02773E-02  2.92546E+00
  6.02560E-04  6.30957E-04  1.41044E-03  0.00000E+00  7.12834E+00  0.00000E+00  1.00541E-02  2.93552E+00
  6.30957E-04  6.60693E-04  1.41044E-03  0.00000E+00  6.97367E+00  0.00000E+00  9.83592E-03  2.94535E+00
  6.60693E-04  6.91831E-04  1.41044E-03  0.00000E+00  6.82286E+00  0.00000E+00  9.62321E-03  2.95498E+00
  6.91831E-04  7.24436E-04  1.41044E-03  0.00000E+00  6.67550E+00  0.00000E+00  9.41538E-03  2.96439E+00
  7.24436E-04  7.58578E-04  1.41044E-03  0.00000E+00  6.53176E+00  0.00000E+00  9.21264E-03  2.97360E+00
  7.58578E-04  7.94328E-04  1.41044E-03  0.00000E+00  6.39149E+00  0.00000E+00  9.01479E-03  2.98262E+00
  7.94328E-04  8.31764E-04  1.41044E-03  0.00000E+00  6.25454E+00  0.00000E+00  8.82164E-03  2.99144E+00
  8.31764E-04  8.70964E-04  1.41044E-03  0.00000E+00  6.12101E+00  0.00000E+00  8.63330E-03  3.00007E+00
  8.70964E-04  9.12011E-04  1.41044E-03  0.00000E+00  5.99055E+00  0.00000E+00  8.44930E-03  3.00852E+00
  9.12011E-04  9.54993E-04  1.41044E-03  0.00000E+00  5.86344E+00  0.00000E+00  8.27001E-03  3.01679E+00
  9.54993E-04  1.00000E-03  1.41044E-03  0.00000E+00  5.73925E+00  0.00000E+00  8.09485E-03  3.02489E+00
  1.00000E-03  1.04713E-03  1.41044E-03  0.00000E+00  5.61829E+00  0.00000E+00  7.92425E-03  3.03281E+00
  1.04713E-03  1.09648E-03  1.41044E-03  0.00000E+00  5.50010E+00  0.00000E+00  7.75755E-03  3.04057E+00
  1.09648E-03  1.14815E-03  1.41044E-03  0.00000E+00  5.38487E+00  0.00000E+00  7.59503E-03  3.04816E+00
  1.14815E-03  1.20226E-03  1.41044E-03  0.00000E+00  5.27249E+00  0.00000E+00  7.43651E-03  3.05560E+00
  1.20226E-03  1.25892E-03  1.41044E-03  0.00000E+00  5.16299E+00  0.00000E+00  7.28208E-03  3.06288E+00
  1.25892E-03  1.31826E-03  1.41044E-03  0.00000E+00  5.05617E+00  0.00000E+00  7.13141E-03  3.07001E+00
  1.31826E-03  1.38038E-03  1.41044E-03  0.00000E+00  4.95191E+00  0.00000E+00  6.98436E-03  3.07700E+00
  1.38038E-03  1.44544E-03  1.41044E-03  0.00000E+00  4.85051E+00  0.00000E+00  6.84134E-03  3.08384E+00
  1.44544E-03  1.51356E-03  1.41044E-03  0.00000E+00  4.75141E+00  0.00000E+00  6.70157E-03  3.09054E+00
  1.51356E-03  1.58489E-03  1.41044E-03  0.00000E+00  4.65489E+00  0.00000E+00  6.56544E-03  3.09711E+00
  1.58489E-03  1.65959E-03  1.41044E-03  0.00000E+00  4.56088E+00  0.00000E+00  6.43283E-03  3.10354E+00
  1.65959E-03  1.73780E-03  1.41044E-03  0.00000E+00  4.46914E+00  0.00000E+00  6.30345E-03  3.10984E+00
  1.73780E-03  1.81970E-03  1.41044E-03  0.00000E+00  4.37989E+00  0.00000E+00  6.17756E-03  3.11602E+00
  1.81970E-03  1.90546E-03  1.41044E-03  0.00000E+00  4.29285E+00  0.00000E+00  6.05479E-03  3.12208E+00
  1.90546E-03  1.99526E-03  1.41044E-03  0.00000E+00  4.20801E+00  0.00000E+00  5.93513E-03  3.12801E+00
  1.99526E-03  2.08930E-03  1.41044E-03  0.00000E+00  4.12552E+00  0.00000E+00  5.81879E-03  3.13383E+00
  2.08930E-03  2.18776E-03  1.41044E-03  0.00000E+00  4.04509E+00  0.00000E+00  5.70535E-03  3.13954E+00
  2.18776E-03  2.29087E-03  1.41044E-03  0.00000E+00  3.96676E+00  0.00000E+00  5.59487E-03  3.14513E+00
  2.29087E-03  2.39883E-03  1.41044E-03  0.00000E+00  3.89062E+00  0.00000E+00  5.48748E-03  3.15062E+00
