      En-low      En-high        flux      flux-unc         gxs       gxs-unc   greac-rate     cum-rate 
  9.12011E-05  9.54993E-05  1.41044E-03  0.00000E+00  3.22132E+01  7.75422E+01  4.54347E-02  4.07729E+00
  9.54993E-05  1.00000E-04  1.41044E-03  0.00000E+00  3.14804E+01  7.75422E+01  4.44011E-02  4.12169E+00
  1.00000E-04  1.04713E-04  1.41044E-03  0.00000E+00  3.07637E+01  7.75422E+01  4.33903E-02  4.16508E+00
  1.04713E-04  1.09648E-04  1.41044E-03  0.00000E+00  3.00634E+01  7.75422E+01  4.24026E-02  4.20749E+00
  1.09648E-04  1.14815E-04  1.41044E-03  0.00000E+00  2.93786E+01  7.75422E+01  4.14367E-02  4.24892E+00
  1.14815E-04  1.20226E-04  1.41044E-03  0.00000E+00  2.87097E+01  7.75422E+01  4.04932E-02  4.28942E+00
  1.20226E-04  1.25893E-04  1.41044E-03  0.00000E+00  2.80568E+01  7.75422E+01  3.95724E-02  4.32899E+00
  1.25893E-04  1.31826E-04  1.41044E-03  0.00000E+00  2.74178E+01  7.75422E+01  3.86711E-02  4.36766E+00
  1.31826E-04  1.38038E-04  1.41044E-03  0.00000E+00  2.67939E+01  7.75422E+01  3.77911E-02  4.40545E+00
  1.38038E-04  1.44544E-04  1.41044E-03  0.00000E+00  2.61840E+01  7.75422E+01  3.69308E-02  4.44238E+00
  1.44544E-04  1.51356E-04  1.41044E-03  0.00000E+00  2.55883E+01  7.75422E+01  3.60906E-02  4.47847E+00
  1.51356E-04  1.58489E-04  1.41044E-03  0.00000E+00  2.50052E+01  7.75422E+01  3.52683E-02  4.51374E+00
  1.58489E-04  1.65959E-04  1.41044E-03  0.00000E+00  2.44364E+01  7.75422E+01  3.44661E-02  4.54821E+00
  1.65959E-04  1.73780E-04  1.41044E-03  0.00000E+00  2.38801E+01  7.75422E+01  3.36813E-02  4.58189E+00
  1.73780E-04  1.81970E-04  1.41044E-03  0.00000E+00  2.33366E+01  7.75422E+01  3.29148E-02  4.61480E+00
  1.81970E-04  1.90546E-04  1.41044E-03  0.00000E+00  2.28053E+01  7.75422E+01  3.21655E-02  4.64697E+00
  1.90546E-04  1.99526E-04  1.41044E-03  0.00000E+00  2.22859E+01  7.75422E+01  3.14329E-02  4.67840E+00
  1.99526E-04  2.08930E-04  1.41044E-03  0.00000E+00  2.17790E+01  7.75422E+01  3.07179E-02  4.70912E+00
  2.08930E-04  2.18776E-04  1.41044E-03  0.00000E+00  2.12830E+01  7.75422E+01  3.00183E-02  4.73914E+00
  2.18776E-04  2.29087E-04  1.41044E-03  0.00000E+00  2.07988E+01  7.75422E+01  2.93353E-02  4.76847E+00
  2.29087E-04  2.39883E-04  1.41044E-03  0.00000E+00  2.03252E+01  7.75422E+01  2.86674E-02  4.79714E+00
  2.39883E-04  2.51189E-04  1.41044E-03  0.00000E+00  1.98628E+01  7.76520E+01  2.80153E-02  4.82516E+00
  2.51189E-04  2.63027E-04  1.41044E-03  0.00000E+00  1.94103E+01  7.76520E+01  2.73771E-02  4.85253E+00
  2.63027E-04  2.75423E-04  1.41044E-03  0.00000E+00  1.89688E+01  7.76520E+01  2.67542E-02  4.87929E+00
  2.75423E-04  2.88403E-04  1.41044E-03  0.00000E+00  1.85370E+01  7.76520E+01  2.61453E-02  4.90543E+00
  2.88403E-04  3.01995E-04  1.41044E-03  0.00000E+00  1.81149E+01  7.76520E+01  2.55500E-02  4.93098E+00
  3.01995E-04  3.16228E-04  1.41044E-03  0.00000E+00  1.77026E+01  7.76520E+01  2.49684E-02  4.95595E+00
  3.16228E-04  3.31131E-04  1.41044E-03  0.00000E+00  1.72995E+01  7.76520E+01  2.43999E-02  4.98035E+00
  3.31131E-04  3.46737E-04  1.41044E-03  0.00000E+00  1.69060E+01  7.76520E+01  2.38448E-02  5.00420E+00
  3.46737E-04  3.63078E-04  1.41044E-03  0.00000E+00  1.65209E+01  7.76520E+01  2.33016E-02  5.02750E+00
  3.63078E-04  3.80189E-04  1.41044E-03  0.00000E+00  1.61451E+01  7.76520E+01  2.27716E-02  5.05027E+00
  3.80189E-04  3.98107E-04  1.41044E-03  0.00000E+00  1.57773E+01  7.76520E+01  2.22529E-02  5.07252E+00
  3.98107E-04  4.16869E-04  1.41044E-03  0.00000E+00  1.54184E+01  7.76520E+01  2.17467E-02  5.09427E+00
  4.16869E-04  4.36516E-04  1.41044E-03  0.00000E+00  1.50673E+01  7.76520E+01  2.12515E-02  5.11552E+00
  4.36516E-04  4.57088E-04  1.41044E-03  0.00000E+00  1.47244E+01  7.76520E+01  2.07678E-02  5.13629E+00
  4.57088E-04  4.78630E-04  1.41044E-03  0.00000E+00  1.43893E+01  7.76520E+01  2.02951E-02  5.15658E+00
  4.78630E-04  5.01187E-04  1.41044E-03  0.00000E+00  1.40616E+01  7.76520E+01  1.98331E-02  5.17642E+00
  5.01187E-04  5.24807E-04  1.41044E-03  0.00000E+00  1.37417E+01  7.76520E+01  1.93818E-02  5.19580E+00
  5.24807E-04  5.49541E-04  1.41044E-03  0.00000E+00  1.34287E+01  7.76520E+01  1.89404E-02  5.21474E+00
  5.49541E-04  5.75440E-04  1.41044E-03  0.00000E+00  1.31233E+01  7.76520E+01  1.85095E-02  5.23325E+00
  5.75440E-04  6.02560E-04  1.41044E-03  0.00000E+00  1.28243E+01  7.76520E+01  1.80879E-02  5.25134E+00
  6.02560E-04  6.30957E-04  1.41044E-03  0.00000E+00  1.25326E+01  7.76520E+01  1.76765E-02  5.26901E+00
  6.30957E-04  6.60693E-04  1.41044E-03  0.00000E+00  1.22472E+01  7.76520E+01  1.72739E-02  5.28629E+00
  6.60693E-04  6.91831E-04  1.41044E-03  0.00000E+00  1.19686E+01  7.76520E+01  1.68809E-02  5.30317E+00
  6.91831E-04  7.24436E-04  1.41044E-03  0.00000E+00  1.16960E+01  7.76520E+01  1.64965E-02  5.31966E+00
  7.24436E-04  7.58578E-04  1.41044E-03  0.00000E+00  1.14298E+01  7.76520E+01  1.61210E-02  5.33578E+00
  7.58578E-04  7.94328E-04  1.41044E-03  0.00000E+00  1.11697E+01  7.79149E+01  1.57541E-02  5.35154E+00
  7.94328E-04  8.31764E-04  1.41044E-03  0.00000E+00  1.09153E+01  7.79149E+01  1.53954E-02  5.36693E+00
  8.31764E-04  8.70964E-04  1.41044E-03  0.00000E+00  1.06670E+01  7.79149E+01  1.50452E-02  5.38198E+00
  8.70964E-04  9.12011E-04  1.41044E-03  0.00000E+00  1.04241E+01  7.79149E+01  1.47025E-02  5.39668E+00
  9.12011E-04  9.54993E-04  1.41044E-03  0.00000E+00  1.01869E+01  7.79149E+01  1.43680E-02  5.41105E+00
  9.54993E-04  1.00000E-03  1.41044E-03  0.00000E+00  9.95489E+00  7.79149E+01  1.40407E-02  5.42509E+00
  1.00000E-03  1.04713E-03  1.41044E-03  0.00000E+00  9.72850E+00  7.79149E+01  1.37214E-02  5.43881E+00
  1.04713E-03  1.09648E-03  1.41044E-03  0.00000E+00  9.50688E+00  7.79149E+01  1.34089E-02  5.45222E+00
  1.09648E-03  1.14815E-03  1.41044E-03  0.00000E+00  9.29042E+00  7.79149E+01  1.31036E-02  5.46532E+00
  1.14815E-03  1.20226E-03  1.41044E-03  0.00000E+00  9.07888E+00  7.79149E+01  1.28052E-02  5.47813E+00
  1.20226E-03  1.25892E-03  1.41044E-03  0.00000E+00  8.87235E+00  7.79149E+01  1.25139E-02  5.49064E+00
  1.25892E-03  1.31826E-03  1.41044E-03  0.00000E+00  8.67044E+00  7.79149E+01  1.22291E-02  5.50287E+00
  1.31826E-03  1.38038E-03  1.41044E-03  0.00000E+00  8.47292E+00  7.79149E+01  1.19505E-02  5.51482E+00
  1.38038E-03  1.44544E-03  1.41044E-03  0.00000E+00  8.28029E+00  7.79149E+01  1.16788E-02  5.52650E+00
  1.44544E-03  1.51356E-03  1.41044E-03  0.00000E+00  8.09166E+00  7.79149E+01  1.14128E-02  5.53791E+00
  1.51356E-03  1.58489E-03  1.41044E-03  0.00000E+00  7.90754E+00  7.79149E+01  1.11531E-02  5.54907E+00
  1.58489E-03  1.65959E-03  1.41044E-03  0.00000E+00  7.72746E+00  7.79149E+01  1.08991E-02  5.55997E+00
  1.65959E-03  1.73780E-03  1.41044E-03  0.00000E+00  7.55168E+00  7.79149E+01  1.06512E-02  5.57062E+00
  1.73780E-03  1.81970E-03  1.41044E-03  0.00000E+00  7.37972E+00  7.79149E+01  1.04086E-02  5.58103E+00
  1.81970E-03  1.90546E-03  1.41044E-03  0.00000E+00  7.21176E+00  7.79149E+01  1.01717E-02  5.59120E+00
  1.90546E-03  1.99526E-03  1.41044E-03  0.00000E+00  7.04755E+00  7.79149E+01  9.94013E-03  5.60114E+00
  1.99526E-03  2.08930E-03  1.41044E-03  0.00000E+00  6.88714E+00  7.79149E+01  9.71388E-03  5.61085E+00
  2.08930E-03  2.18776E-03  1.41044E-03  0.00000E+00  6.73043E+00  7.79149E+01  9.49286E-03  5.62034E+00
  2.18776E-03  2.29087E-03  1.41044E-03  0.00000E+00  6.57714E+00  7.79149E+01  9.27664E-03  5.62962E+00
  2.29087E-03  2.39883E-03  1.41044E-03  0.00000E+00  6.42757E+00  7.86325E+01  9.06568E-03  5.63869E+00
  2.39883E-03  2.51189E-03  1.41044E-03  0.00000E+00  6.28118E+00  7.86325E+01  8.85921E-03  5.64755E+00
  2.51189E-03  2.63027E-03  1.41044E-03  0.00000E+00  6.13826E+00  7.86325E+01  8.65764E-03  5.65620E+00
  2.63027E-03  2.75423E-03  1.41044E-03  0.00000E+00  5.99848E+00  7.86325E+01  8.46048E-03  5.66466E+00
  2.75423E-03  2.88403E-03  1.41044E-03  0.00000E+00  5.86205E+00  7.86325E+01  8.26805E-03  5.67293E+00
  2.88403E-03  3.01995E-03  1.41044E-03  0.00000E+00  5.72853E+00  7.86325E+01  8.07974E-03  5.68101E+00
  3.01995E-03  3.16228E-03  1.41044E-03  0.00000E+00  5.59814E+00  7.86325E+01  7.89582E-03  5.68891E+00
  3.16228E-03  3.31131E-03  1.41044E-03  0.00000E+00  5.47075E+00  7.86325E+01  7.71615E-03  5.69662E+00
  3.31131E-03  3.46737E-03  1.41044E-03  0.00000E+00  5.34619E+00  7.86325E+01  7.54046E-03  5.70416E+00
