            nuclides,             nuclides,        activity (Bq),                grams,      alpha heat (kW),       beta heat (kW),      gamma heat (kW), cumulative time (secs),       is irradiation
               Cl38m,                Cl38m,                438.7,            2.853e-20,                  0.0,            3.019e-17,            4.719e-14,                 60.0,                    1
                Cl39,                 Cl39,               0.9631,            2.999e-19,                  0.0,            1.269e-16,            2.244e-16,                 60.0,                    1
                Cl40,                 Cl40,                2.266,            1.757e-20,                  0.0,            5.514e-16,            1.481e-15,                 60.0,                    1
                Cl41,                 Cl41,               0.4898,            1.846e-21,                  0.0,            1.506e-16,            1.506e-16,                 60.0,                    1
                Ar34,                 Ar34,                19.08,            1.312e-21,                  0.0,            6.998e-15,            3.379e-15,                 60.0,                    1
                Ar35,                 Ar35,               1212.0,            1.802e-19,                  0.0,            4.398e-13,            2.037e-13,                 60.0,                    1
                Ar36,                 Ar36,                  0.0,            6.655e-17,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ar37,                 Ar37,               0.6412,            1.719e-16,                  0.0,            2.003e-19,             2.29e-20,                 60.0,                    1
                Ar38,                 Ar38,                  0.0,            3.585e-16,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ar39,                 Ar39,            7.587e-05,            6.012e-17,                  0.0,            2.658e-21,                  0.0,                 60.0,                    1
                Ar40,                 Ar40,                  0.0,            2.142e-17,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                Ar41,                 Ar41,                3.442,            2.221e-18,                  0.0,            2.556e-16,            7.083e-16,                 60.0,                    1
                Ar42,                 Ar42,            3.586e-06,            3.755e-19,                  0.0,            1.338e-22,                  0.0,                 60.0,                    1
                Ar43,                 Ar43,               0.1262,            4.185e-21,                  0.0,            2.787e-17,            3.013e-17,                 60.0,                    1
                 K36,                  K36,                27.26,            8.037e-22,             1.23e-17,            1.516e-14,             2.38e-14,                 60.0,                    1
                 K37,                  K37,               1959.0,            2.128e-19,                  0.0,            7.369e-13,            3.366e-13,                 60.0,                    1
                 K38,                  K38,               1638.0,            6.804e-17,                  0.0,            3.153e-13,            8.375e-13,                 60.0,                    1
                K38m,                 K38m,              16210.0,            1.363e-18,                  0.0,            6.006e-12,            2.677e-12,                 60.0,                    1
                 K39,                  K39,                  0.0,            7.874e-16,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                 K40,                  K40,            2.204e-10,            8.424e-16,                  0.0,            1.601e-26,              5.5e-27,                 60.0,                    1
                 K41,                  K41,                  0.0,            4.001e-16,                  0.0,                  0.0,                  0.0,                 60.0,                    1
                 K42,                  K42,                21.14,            9.453e-17,                  0.0,            4.811e-15,            9.346e-16,                 60.0,                    1
                 K43,                  K43,                2.307,            1.898e-17,                  0.0,            1.144e-16,            3.572e-16,                 60.0,                    1
                 K44,                  K44,                16.34,            2.285e-18,                  0.0,            3.759e-15,            6.259e-15,                 60.0,                    1
                 K45,                  K45,                2.197,            2.457e-19,                  0.0,            3.473e-16,            6.458e-16,                 60.0,                    1
                 K46,                  K46,              0.09308,            1.076e-21,                  0.0,            3.461e-17,            3.953e-17,                 60.0,                    1
                Ca38,                 Ca38,                131.6,            5.267e-21,             2.11e-17,            5.129e-14,            2.897e-14,                 60.0,                    1
