            nuclides,             nuclides,        activity (Bq),                grams,      alpha heat (kW),       beta heat (kW),      gamma heat (kW), cumulative time (secs),       is irradiation
                 K45,                  K45,                19.84,            2.218e-18,                  0.0,            3.136e-15,            5.831e-15,                120.0,                    1
                 K46,                  K46,               0.8584,            9.924e-21,                  0.0,            3.192e-16,            3.645e-16,                120.0,                    1
                Ca38,                 Ca38,                626.7,            2.509e-20,                1e-16,            2.443e-13,             1.38e-13,                120.0,                    1
                Ca39,                 Ca39,              68320.0,            5.483e-18,                  0.0,            2.804e-11,            1.119e-11,                120.0,                    1
                Ca40,                 Ca40,                  0.0,            1.038e-14,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ca41,                 Ca41,            0.0001051,            3.352e-14,                  0.0,            4.787e-23,             7.36e-24,                120.0,                    1
                Ca42,                 Ca42,                  0.0,            7.903e-14,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ca43,                 Ca43,                  0.0,            4.461e-14,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ca44,                 Ca44,                  0.0,            1.678e-14,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ca45,                 Ca45,               0.8754,            1.328e-15,                  0.0,            1.083e-17,            1.339e-24,                120.0,                    1
                Ca46,                 Ca46,                  0.0,            4.186e-16,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ca47,                 Ca47,               0.3417,            1.507e-17,                  0.0,            1.886e-17,            5.805e-17,                120.0,                    1
                Ca48,                 Ca48,            1.987e-24,            3.818e-19,                  0.0,            6.953e-40,            1.496e-41,                120.0,                    1
                Ca49,                 Ca49,              0.01128,            6.921e-22,                  0.0,            1.571e-18,            5.723e-18,                120.0,                    1
                Sc40,                 Sc40,                885.8,            1.547e-20,             3.93e-16,            4.824e-13,             1.01e-12,                120.0,                    1
                Sc41,                 Sc41,             109800.0,            6.427e-18,                  0.0,            4.471e-11,            1.798e-11,                120.0,                    1
                Sc42,                 Sc42,            2238000.0,            1.532e-16,                  0.0,            8.993e-10,            3.662e-10,                120.0,                    1
               Sc42m,                Sc42m,             662100.0,            4.127e-15,                  0.0,            1.332e-10,             4.46e-10,                120.0,                    1
                Sc43,                 Sc43,              89190.0,            1.286e-13,                  0.0,                6e-12,            1.407e-11,                120.0,                    1
                Sc44,                 Sc44,             111600.0,             1.68e-13,                  0.0,            1.066e-11,            3.819e-11,                120.0,                    1
               Sc44m,                Sc44m,               4362.0,            9.692e-14,                  0.0,            2.294e-14,            1.924e-13,                120.0,                    1
                Sc45,                 Sc45,                  0.0,            2.503e-13,                  0.0,                  0.0,                  0.0,                120.0,                    1
               Sc45m,                Sc45m,           19790000.0,            6.929e-16,                  0.0,            3.714e-11,             2.22e-12,                120.0,                    1
                Sc46,                 Sc46,                65.98,            5.258e-14,                  0.0,            1.185e-15,            2.124e-14,                120.0,                    1
               Sc46m,                Sc46m,            1930000.0,            3.974e-15,                  0.0,            1.822e-11,            2.566e-11,                120.0,                    1
                Sc47,                 Sc47,               1103.0,            3.591e-14,                  0.0,            2.872e-14,            1.915e-14,                120.0,                    1
                Sc48,                 Sc48,                188.4,            3.402e-15,                  0.0,            6.628e-15,            1.011e-13,                120.0,                    1
                Sc49,                 Sc49,                400.0,             1.61e-16,                  0.0,            5.254e-14,             2.14e-16,                120.0,                    1
                Sc50,                 Sc50,                257.5,            3.159e-18,                  0.0,            6.701e-14,             1.32e-13,                120.0,                    1
               Sc50m,                Sc50m,                600.1,            2.514e-20,                  0.0,            3.912e-15,            2.542e-14,                120.0,                    1
                Sc51,                 Sc51,                7.002,             1.06e-20,                  0.0,            2.066e-15,            2.636e-15,                120.0,                    1
                Ti41,                 Ti41,                15.19,            1.193e-22,             2.84e-18,            8.346e-15,            2.667e-15,                120.0,                    1
                Ti42,                 Ti42,               5915.0,            1.184e-19,             9.61e-16,            2.499e-12,            1.312e-12,                120.0,                    1
                Ti43,                 Ti43,             467500.0,             2.45e-17,                  0.0,            1.975e-10,            9.004e-11,                120.0,                    1
                Ti44,                 Ti44,               0.7702,            1.536e-13,                  0.0,            1.311e-18,            1.706e-17,                120.0,                    1
                Ti45,                 Ti45,             698400.0,             8.34e-13,                  0.0,            4.177e-11,            9.755e-11,                120.0,                    1
                Ti46,                 Ti46,                  0.0,            3.341e-12,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ti47,                 Ti47,                  0.0,            2.928e-12,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ti48,                 Ti48,                  0.0,            2.071e-12,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ti49,                 Ti49,                  0.0,             3.54e-13,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ti50,                 Ti50,                  0.0,            4.454e-14,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ti51,                 Ti51,              40410.0,            1.716e-15,                  0.0,            5.626e-12,             2.36e-12,                120.0,                    1
                Ti52,                 Ti52,               2194.0,            2.785e-17,                  0.0,            2.653e-13,            4.515e-14,                120.0,                    1
                Ti53,                 Ti53,                6.323,            2.623e-20,                  0.0,            1.428e-15,            1.996e-15,                120.0,                    1
                 V43,                  V43,                34.14,            2.812e-22,                  0.0,            2.061e-14,            2.061e-14,                120.0,                    1
                 V44,                  V44,              17590.0,            2.057e-19,             8.43e-15,            1.225e-11,            1.275e-11,                120.0,                    1
                 V45,                  V45,            1829000.0,            1.062e-16,             3.04e-13,            8.361e-10,            2.995e-10,                120.0,                    1
                 V46,                  V46,          103600000.0,            4.818e-15,                  0.0,             4.67e-08,            1.695e-08,                120.0,                    1
                 V47,                  V47,           20180000.0,             4.44e-12,                  0.0,            2.597e-09,            3.217e-09,                120.0,                    1
                 V48,                  V48,              92990.0,            1.474e-11,                  0.0,            2.224e-12,            4.345e-11,                120.0,                    1
                 V49,                  V49,               7320.0,            2.447e-11,                  0.0,            4.202e-15,            1.111e-15,                120.0,                    1
                 V50,                  V50,            1.401e-14,            7.408e-12,                  0.0,             3.52e-32,            3.196e-30,                120.0,                    1
                 V51,                  V51,                  0.0,            2.648e-12,                  0.0,                  0.0,                  0.0,                120.0,                    1
                 V52,                  V52,            7112000.0,            1.989e-13,                  0.0,            1.213e-09,             1.65e-09,                120.0,                    1
                 V53,                  V53,            2018000.0,            2.488e-14,                  0.0,             3.25e-10,            3.368e-10,                120.0,                    1
                 V54,                  V54,              97040.0,            6.246e-16,                  0.0,            2.111e-11,            6.371e-11,                120.0,                    1
                 V55,                  V55,                723.2,            6.226e-19,                  0.0,             2.76e-13,            7.985e-14,                120.0,                    1
                 V56,                  V56,                3.582,            1.037e-22,                  0.0,             1.76e-15,             1.76e-15,                120.0,                    1
                Cr45,                 Cr45,                147.9,            7.968e-22,             1.81e-14,            9.249e-14,            9.249e-14,                120.0,                    1
                Cr46,                 Cr46,              50260.0,            1.439e-18,              9.4e-15,            2.487e-11,            8.229e-12,                120.0,                    1
                Cr47,                 Cr47,            8411000.0,            4.731e-16,             1.47e-12,            4.059e-09,            1.382e-09,                120.0,                    1
                Cr48,                 Cr48,             239400.0,            2.135e-12,                  0.0,            3.154e-13,            1.661e-11,                120.0,                    1
                Cr49,                 Cr49,           69860000.0,             2.06e-11,                  0.0,            6.677e-09,            1.172e-08,                120.0,                    1
                Cr50,                 Cr50,            1.566e-13,            1.064e-10,                  0.0,            2.929e-29,                  0.0,                120.0,                    1
                Cr51,                 Cr51,             535000.0,            1.563e-10,                  0.0,            3.142e-13,            2.804e-12,                120.0,                    1
                Cr52,                 Cr52,                  0.0,            1.447e-10,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Cr53,                 Cr53,                  0.0,             1.82e-11,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Cr54,                 Cr54,                  0.0,            2.557e-12,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Cr55,                 Cr55,            7298000.0,             2.04e-13,                  0.0,            1.282e-09,            4.961e-12,                120.0,                    1
                Cr56,                 Cr56,             185400.0,            8.854e-15,                  0.0,            1.802e-11,            2.723e-12,                120.0,                    1
                Cr57,                 Cr57,               3742.0,            1.077e-17,                  0.0,            1.169e-12,            2.771e-13,                120.0,                    1
                Cr58,                 Cr58,                81.87,            7.955e-20,                  0.0,            1.784e-14,            1.784e-14,                120.0,                    1
                Mn47,                 Mn47,                207.8,            2.338e-21,             2.02e-15,            1.338e-13,            1.338e-13,                120.0,                    1
                Mn48,                 Mn48,             173800.0,            3.158e-18,             1.05e-13,            1.251e-10,            1.251e-10,                120.0,                    1
                Mn49,                 Mn49,           19780000.0,            8.864e-16,             3.55e-12,            9.841e-09,            3.469e-09,                120.0,                    1
                Mn50,                 Mn50,          301000000.0,            1.023e-14,             5.22e-11,            1.495e-07,            4.924e-08,                120.0,                    1
               Mn50m,                Mn50m,          176700000.0,            2.221e-12,                  0.0,              4.7e-08,            1.354e-07,                120.0,                    1
                Mn51,                 Mn51,          272200000.0,            9.209e-11,                  0.0,            4.077e-08,            4.351e-08,                120.0,                    1
                Mn52,                 Mn52,            4253000.0,            2.559e-10,                  0.0,            4.876e-11,            2.359e-09,                120.0,                    1
               Mn52m,                Mn52m,          831200000.0,            1.316e-10,                  0.0,            1.509e-07,            3.208e-07,                120.0,                    1
                Mn53,                 Mn53,              0.06846,            1.008e-09,                  0.0,            4.389e-20,             1.56e-20,                120.0,                    1
                Mn54,                 Mn54,             135600.0,            4.726e-10,                  0.0,             8.75e-14,            1.816e-11,                120.0,                    1
                Mn55,                 Mn55,                  0.0,            1.723e-10,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Mn56,                 Mn56,           23690000.0,            2.951e-11,                  0.0,            3.116e-09,             6.49e-09,                120.0,                    1
                Mn57,                 Mn57,          178100000.0,            2.074e-12,                  0.0,             3.15e-08,            2.842e-09,                120.0,                    1
                Mn58,                 Mn58,            8598000.0,            7.781e-14,                  0.0,            2.358e-09,            3.282e-09,                120.0,                    1
               Mn58m,                Mn58m,           31660000.0,            1.187e-14,                  0.0,            1.435e-08,            6.091e-10,                120.0,                    1
                Mn59,                 Mn59,             141800.0,            9.189e-17,                  0.0,            4.679e-11,            1.222e-11,                120.0,                    1
                Mn60,                 Mn60,                239.8,            1.757e-18,             4.67e-17,            1.476e-13,                  0.0,                120.0,                    1
               Mn60m,                Mn60m,                607.5,            1.561e-19,                  0.0,            2.647e-13,            2.618e-13,                120.0,                    1
                Mn61,                 Mn61,                10.43,             1.02e-21,                  0.0,            5.439e-15,            2.177e-16,                120.0,                    1
                Fe49,                 Fe49,               1420.0,            1.166e-20,             3.24e-13,            7.984e-13,            7.984e-13,                120.0,                    1
                Fe50,                 Fe50,             353900.0,            6.566e-18,                  0.0,             1.54e-10,             1.54e-10,                120.0,                    1
                Fe51,                 Fe51,             170500.0,             3.81e-13,             3.21e-14,            8.935e-11,            2.903e-11,                120.0,                    1
                Fe52,                 Fe52,            5638000.0,             2.09e-11,                  0.0,            1.734e-10,            6.705e-10,                120.0,                    1
               Fe52m,                Fe52m,           22210000.0,            1.269e-13,                  0.0,            7.052e-09,            1.739e-08,                120.0,                    1
                Fe53,                 Fe53,         4540000000.0,             2.94e-10,                  0.0,            8.053e-07,            8.615e-07,                120.0,                    1
               Fe53m,                Fe53m,         1093000000.0,            2.146e-11,                  0.0,                  0.0,            5.315e-07,                120.0,                    1
                Fe54,                 Fe54,                  0.0,            2.185e-09,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Fe55,                 Fe55,             351900.0,            3.997e-09,                  0.0,            2.257e-13,            9.365e-14,                120.0,                    1
                Fe56,                 Fe56,                  0.0,            4.442e-09,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Fe57,                 Fe57,                  0.0,            8.305e-10,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Fe58,                 Fe58,                  0.0,            2.011e-10,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Fe59,                 Fe59,              54490.0,            2.958e-11,                  0.0,            1.033e-12,            1.038e-11,                120.0,                    1
                Fe60,                 Fe60,            0.0001657,            1.126e-12,                  0.0,            1.356e-21,                  0.0,                120.0,                    1
                Fe61,                 Fe61,             584800.0,            3.063e-14,                  0.0,            9.883e-11,            1.303e-10,                120.0,                    1
                Fe62,                 Fe62,               4856.0,              4.9e-17,                  0.0,            6.411e-13,            3.938e-13,                120.0,                    1
                Fe63,                 Fe63,                113.8,            1.046e-19,                  0.0,            4.746e-14,            5.791e-15,                120.0,                    1
                Fe64,                 Fe64,                7.747,            2.373e-21,                  0.0,            2.613e-15,            1.929e-17,                120.0,                    1
                Co51,                 Co51,               3053.0,            2.237e-20,                  0.0,            2.112e-12,            2.112e-12,                120.0,                    1
                Co52,                 Co52,             538100.0,            7.704e-18,                  0.0,            3.163e-10,            3.163e-10,                120.0,                    1
               Co52m,                Co52m,                65.42,             8.47e-22,                  0.0,            2.584e-14,            2.783e-14,                120.0,                    1
                Co53,                 Co53,          184500000.0,            5.616e-15,             3.58e-11,            1.004e-07,             3.24e-08,                120.0,                    1
               Co53m,                Co53m,           43630000.0,            1.367e-15,             1.67e-10,             1.94e-08,             1.94e-08,                120.0,                    1
                Co54,                 Co54,         7867000000.0,            1.965e-13,             1.49e-09,            4.285e-06,            1.287e-06,                120.0,                    1
               Co54m,                Co54m,         3017000000.0,            3.463e-11,                  0.0,            9.897e-07,              1.9e-06,                120.0,                    1
                Co55,                 Co55,          187700000.0,            1.559e-09,                  0.0,            1.313e-08,            6.037e-08,                120.0,                    1
                Co56,                 Co56,            8511000.0,            7.619e-09,                  0.0,            1.667e-10,            4.898e-09,                120.0,                    1
                Co57,                 Co57,            6738000.0,            2.158e-08,                  0.0,            1.975e-11,            1.352e-10,                120.0,                    1
                Co58,                 Co58,            8107000.0,            6.889e-09,                  0.0,            4.457e-11,            1.268e-09,                120.0,                    1
               Co58m,                Co58m,         2083000000.0,            9.264e-09,                  0.0,            7.433e-09,            6.063e-10,                120.0,                    1
                Co59,                 Co59,                  0.0,            5.275e-09,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Co60,                 Co60,              32790.0,            7.831e-10,                  0.0,            5.084e-13,            1.315e-11,                120.0,                    1
               Co60m,                Co60m,         4805000000.0,            4.334e-10,                  0.0,            4.287e-08,            5.224e-09,                120.0,                    1
                Co61,                 Co61,          163600000.0,            1.418e-10,                  0.0,            1.222e-08,            2.541e-09,                120.0,                    1
                Co62,                 Co62,          328900000.0,            4.392e-12,                  0.0,             8.64e-08,            8.432e-08,                120.0,                    1
               Co62m,                Co62m,           58160000.0,            7.201e-12,                  0.0,             9.42e-09,            2.514e-08,                120.0,                    1
                Co63,                 Co63,           37840000.0,            1.563e-13,                  0.0,            9.509e-09,            8.736e-10,                120.0,                    1
                Co64,                 Co64,             563400.0,            2.589e-17,                  0.0,            2.968e-10,            1.635e-11,                120.0,                    1
                Co65,                 Co65,               5832.0,            1.089e-18,                  0.0,             2.49e-12,            1.072e-13,                120.0,                    1
                Co66,                 Co66,                49.22,            1.812e-21,             9.22e-18,            2.646e-14,            2.172e-14,                120.0,                    1
                Ni52,                 Ni52,                78.96,            3.736e-22,             5.53e-15,            4.365e-14,            4.365e-14,                120.0,                    1
                Ni53,                 Ni53,              24980.0,            1.427e-19,                  0.0,            6.644e-12,            1.841e-12,                120.0,                    1
                Ni54,                 Ni54,            4263000.0,            5.731e-17,                  0.0,            2.003e-09,            2.003e-09,                120.0,                    1
                Ni55,                 Ni55,         1382000000.0,            3.711e-14,             2.86e-10,            7.968e-07,            2.251e-07,                120.0,                    1
                Ni56,                 Ni56,            4634000.0,            3.259e-10,                  0.0,            5.302e-12,            1.277e-09,                120.0,                    1
                Ni57,                 Ni57,          206800000.0,            3.646e-09,                  0.0,            5.188e-09,            6.431e-08,                120.0,                    1
                Ni58,                 Ni58,            9.934e-15,            3.046e-08,                  0.0,            3.065e-30,                  0.0,                120.0,                    1
                Ni59,                 Ni59,                221.8,            7.509e-08,                  0.0,            1.642e-16,            9.038e-17,                120.0,                    1
                Ni60,                 Ni60,                  0.0,            1.011e-07,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ni61,                 Ni61,                  0.0,            5.042e-08,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ni62,                 Ni62,                  0.0,            3.062e-08,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ni63,                 Ni63,               2032.0,            9.727e-10,                  0.0,            5.674e-15,                  0.0,                120.0,                    1
                Ni64,                 Ni64,                  0.0,            9.257e-11,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ni65,                 Ni65,            1859000.0,            2.624e-12,                  0.0,            1.876e-10,            1.638e-10,                120.0,                    1
                Ni66,                 Ni66,               4435.0,            1.372e-13,                  0.0,            4.636e-14,                  0.0,                120.0,                    1
                Ni67,                 Ni67,              52010.0,            1.751e-16,                  0.0,            1.269e-11,            4.188e-13,                120.0,                    1
                Ni68,                 Ni68,               1733.0,            8.179e-18,                  0.0,            1.947e-13,            1.947e-13,                120.0,                    1
                Ni69,                 Ni69,                14.21,            2.675e-20,                  0.0,            2.672e-15,                6e-15,                120.0,                    1
                Ni70,                 Ni70,                1.093,            1.099e-21,                  0.0,            2.092e-16,            2.092e-16,                120.0,                    1
                Cu55,                 Cu55,               1685.0,            8.874e-21,             4.06e-14,            6.171e-13,            6.171e-13,                120.0,                    1
                Cu56,                 Cu56,            1945000.0,            2.425e-17,             2.54e-12,            1.586e-09,            1.586e-09,                120.0,                    1
                Cu57,                 Cu57,          664300000.0,            1.779e-14,             1.34e-10,            3.831e-07,            1.213e-07,                120.0,                    1
                Cu58,                 Cu58,        61230000000.0,            2.723e-11,             1.09e-08,            3.233e-05,            1.512e-05,                120.0,                    1
                Cu59,                 Cu59,       490800000000.0,            5.648e-09,                  0.0,             0.000117,            0.0001135,                120.0,                    1
                Cu60,                 Cu60,       346200000000.0,            7.069e-08,                  0.0,            5.002e-05,             0.000217,                120.0,                    1
                Cu61,                 Cu61,       138700000000.0,             2.43e-07,                  0.0,            6.865e-06,            1.831e-05,                120.0,                    1
                Cu62,                 Cu62,      3235000000000.0,            2.808e-07,                  0.0,            0.0006649,            0.0005244,                120.0,                    1
                Cu63,                 Cu63,                  0.0,            2.643e-07,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Cu64,                 Cu64,         5462000000.0,            3.825e-08,                  0.0,            1.102e-07,            1.664e-07,                120.0,                    1
                Cu65,                 Cu65,                  0.0,            7.315e-09,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Cu66,                 Cu66,        13110000000.0,            6.336e-10,                  0.0,            2.249e-06,            1.719e-07,                120.0,                    1
                Cu67,                 Cu67,            1218000.0,            4.351e-11,                  0.0,            3.037e-11,            2.252e-11,                120.0,                    1
                Cu68,                 Cu68,          156400000.0,            7.916e-13,                  0.0,            3.713e-08,            2.558e-08,                120.0,                    1
               Cu68m,                Cu68m,           16320000.0,            5.975e-13,                  0.0,            5.333e-10,            2.876e-09,                120.0,                    1
                Cu69,                 Cu69,             320800.0,            9.059e-15,                  0.0,            4.557e-11,            2.698e-11,                120.0,                    1
                Cu70,                 Cu70,               7620.0,            5.681e-17,                  0.0,            1.621e-12,            4.264e-12,                120.0,                    1
               Cu70m,                Cu70m,               9574.0,            5.293e-17,                  0.0,            1.779e-12,            1.853e-12,                120.0,                    1
               Cu70n,                Cu70n,              10750.0,            1.189e-17,                  0.0,            3.655e-12,            3.672e-12,                120.0,                    1
                Cu71,                 Cu71,               3667.0,            1.215e-17,                  0.0,            8.565e-13,             7.31e-13,                120.0,                    1
                Cu72,                 Cu72,                13.48,            1.534e-20,                  0.0,            6.742e-15,            3.086e-15,                120.0,                    1
                Cu73,                 Cu73,                1.661,            1.219e-21,                  0.0,                  0.0,            8.133e-17,                120.0,                    1
                Zn56,                 Zn56,                67.92,            3.279e-22,                  0.0,            4.669e-14,            4.669e-14,                120.0,                    1
                Zn57,                 Zn57,              56280.0,            2.918e-19,             2.02e-11,             3.55e-11,             3.55e-11,                120.0,                    1
                Zn58,                 Zn58,           23750000.0,             2.77e-16,             1.85e-10,             1.17e-08,             1.17e-08,                120.0,                    1
                Zn59,                 Zn59,         2699000000.0,            6.938e-14,             5.75e-10,            1.644e-06,            4.569e-07,                120.0,                    1
                Zn60,                 Zn60,        46390000000.0,            9.512e-10,                  0.0,            8.314e-06,             1.12e-05,                120.0,                    1
                Zn61,                 Zn61,      7424000000000.0,            9.657e-08,                  0.0,             0.002207,             0.001814,                120.0,                    1
               Zn61m,                Zn61m,       326300000000.0,            2.049e-11,                  0.0,                  0.0,            4.622e-06,                120.0,                    1
               Zn61n,                Zn61n,      3568000000000.0,            7.292e-11,                  0.0,                  0.0,             0.000239,                120.0,                    1
               Zn61o,                Zn61o,       962400000000.0,            1.827e-11,                  0.0,                  0.0,            0.0001166,                120.0,                    1
                Zn62,                 Zn62,       204900000000.0,            1.013e-06,                  0.0,            1.055e-06,            1.455e-05,                120.0,                    1
                Zn63,                 Zn63,      8774000000000.0,            3.048e-06,                  0.0,             0.001289,             0.001552,                120.0,                    1
                Zn64,                 Zn64,            5.735e-10,            6.375e-06,                  0.0,            1.007e-25,                  0.0,                120.0,                    1
                Zn65,                 Zn65,         1201000000.0,             3.94e-06,                  0.0,            1.288e-09,             1.12e-07,                120.0,                    1
                Zn66,                 Zn66,                  0.0,            1.835e-06,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Zn67,                 Zn67,                  0.0,            5.744e-08,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Zn68,                 Zn68,                  0.0,            4.831e-08,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Zn69,                 Zn69,          203000000.0,            1.134e-10,                  0.0,             1.05e-08,            1.953e-13,                120.0,                    1
               Zn69m,                Zn69m,           23930000.0,            1.961e-10,                  0.0,            8.582e-11,            1.597e-09,                120.0,                    1
                Zn70,                 Zn70,                  0.0,            3.218e-11,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Zn71,                 Zn71,            5036000.0,            1.258e-13,                  0.0,            8.456e-10,            2.541e-10,                120.0,                    1
               Zn71m,                Zn71m,             110200.0,            2.669e-13,                  0.0,            9.479e-12,            2.753e-11,                120.0,                    1
                Zn72,                 Zn72,                829.5,            2.393e-14,                  0.0,            1.367e-14,            2.027e-14,                120.0,                    1
                Zn73,                 Zn73,             162500.0,            6.673e-16,                  0.0,            4.802e-11,            2.731e-12,                120.0,                    1
               Zn73m,                Zn73m,              11970.0,            2.719e-17,                  0.0,                  0.0,             3.75e-13,                120.0,                    1
                Zn74,                 Zn74,              14170.0,            2.398e-16,                  0.0,            1.816e-12,            6.808e-13,                120.0,                    1
                Zn75,                 Zn75,                66.74,            1.222e-19,                  0.0,            2.074e-14,            1.832e-14,                120.0,                    1
                Zn76,                 Zn76,               0.4899,             5.08e-22,                  0.0,            1.245e-16,            4.105e-17,                120.0,                    1
                Ga60,                 Ga60,            1819000.0,            1.829e-17,             7.14e-13,            1.341e-09,            1.299e-09,                120.0,                    1
                Ga61,                 Ga61,         1937000000.0,            4.752e-14,                  0.0,            9.528e-07,            9.528e-07,                120.0,                    1
                Ga62,                 Ga62,       220100000000.0,            3.792e-12,             4.56e-08,            0.0001359,            3.598e-05,                120.0,                    1
                Ga63,                 Ga63,      5845000000000.0,            2.855e-08,                  0.0,              0.00177,             0.001286,                120.0,                    1
                Ga64,                 Ga64,     36120000000000.0,            8.721e-07,                  0.0,             0.009833,               0.0194,                120.0,                    1
                Ga65,                 Ga65,     48760000000000.0,            6.918e-06,                  0.0,             0.006434,             0.009124,                120.0,                    1
                Ga66,                 Ga66,      2655000000000.0,            1.433e-05,                  0.0,            0.0004152,             0.001046,                120.0,                    1
                Ga67,                 Ga67,       505000000000.0,            2.281e-05,                  0.0,            2.911e-06,            1.288e-05,                120.0,                    1
                Ga68,                 Ga68,      6606000000000.0,            4.363e-06,                  0.0,            0.0007831,             0.001007,                120.0,                    1
                Ga69,                 Ga69,                  0.0,            4.483e-07,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ga70,                 Ga70,       269500000000.0,            5.726e-08,                  0.0,            2.766e-05,            3.965e-07,                120.0,                    1
                Ga71,                 Ga71,                  0.0,            4.252e-09,                  0.0,                  0.0,                  0.0,                120.0,                    1
                Ga72,                 Ga72,           63460000.0,             5.55e-10,                  0.0,            5.151e-09,             2.75e-08,                120.0,                    1
               Ga72m,                Ga72m,                 27.6,            1.887e-22,                  0.0,                  0.0,            5.291e-16,                120.0,                    1
                Ga73,                 Ga73,           21880000.0,            6.686e-11,                  0.0,            1.565e-09,            1.195e-09,                120.0,                    1
                Ga74,                 Ga74,           50340000.0,            4.344e-12,                  0.0,            7.971e-09,            2.425e-08,                120.0,                    1
               Ga74m,                Ga74m,          117500000.0,            1.976e-13,                  0.0,            3.174e-10,            8.085e-10,                120.0,                    1
                Ga75,                 Ga75,            3830000.0,             8.95e-14,                  0.0,              8.5e-10,            4.117e-11,                120.0,                    1
                Ga76,                 Ga76,             292400.0,            1.734e-15,                  0.0,            8.435e-11,            1.271e-10,                120.0,                    1
                Ga77,                 Ga77,              11120.0,            2.663e-17,                  0.0,            3.761e-12,            8.139e-13,                120.0,                    1
                Ga78,                 Ga78,                58.83,             5.59e-20,                  0.0,            2.454e-14,            2.356e-14,                120.0,                    1
                Ga79,                 Ga79,                 1.23,             6.98e-22,             5.52e-17,            4.396e-16,            3.627e-16,                120.0,                    1
                Ge60,                 Ge60,                53.72,            2.315e-22,                  0.0,            3.509e-14,            3.509e-14,                120.0,                    1
                Ge61,                 Ge61,              34670.0,            1.975e-19,             1.46e-11,            1.958e-11,            1.958e-11,                120.0,                    1
                Ge62,                 Ge62,            9713000.0,            1.874e-16,                  0.0,            5.063e-09,            5.063e-09,                120.0,                    1
                Ge63,                 Ge63,         3369000000.0,            7.215e-14,                  0.0,            1.734e-06,            1.734e-06,                120.0,                    1
                Ge64,                 Ge64,       161700000000.0,            1.578e-09,                  0.0,            2.798e-05,            3.143e-05,                120.0,                    1
                Ge65,                 Ge65,     15410000000000.0,            7.406e-08,                  0.0,             0.005228,              0.00433,                120.0,                    1
                Ge66,                 Ge66,      2468000000000.0,            3.172e-06,                  0.0,            3.841e-05,            0.0002667,                120.0,                    1
                Ge67,                 Ge67,     89740000000000.0,            1.632e-05,                  0.0,              0.01632,              0.02001,                120.0,                    1
